Country,Region,City,Product Name,Product Price,Material Code,Material Quantity,Material Unit Cost,Material Shipping Cost
Australia,New South Wales,Freemans Reach,Product_1,68.14,MAT_029,1,2.64,0.23
Australia,New South Wales,Freemans Reach,Product_1,68.14,MAT_023,13,2.53,0.23
Australia,New South Wales,Freemans Reach,Product_1,68.14,MAT_018,17,2.53,0.23
Australia,New South Wales,Freemans Reach,Product_1,68.14,MAT_032,9,2.51,0.23
Australia,New South Wales,Freemans Reach,Product_1,68.14,MAT_008,11,2.56,0.23
Australia,New South Wales,Freemans Reach,Product_1,68.14,MAT_009,3,2.58,0.23
Australia,New South Wales,Freemans Reach,Product_1,68.14,MAT_033,20,2.5,0.23
Australia,New South Wales,Freemans Reach,Product_1,68.14,MAT_049,20,2.57,0.23
Australia,New South Wales,Freemans Reach,Product_2,42.38,MAT_021,11,7.21,0.37
Australia,New South Wales,Freemans Reach,Product_2,42.38,MAT_027,10,7.44,0.37
Australia,New South Wales,Freemans Reach,Product_2,42.38,MAT_008,15,7.4,0.37
Australia,New South Wales,Freemans Reach,Product_2,42.38,MAT_044,15,7.55,0.37
Australia,New South Wales,Freemans Reach,Product_2,42.38,MAT_012,12,7.13,0.37
Australia,New South Wales,Freemans Reach,Product_3,57.32,MAT_016,5,3.41,0.32
Australia,New South Wales,Freemans Reach,Product_3,57.32,MAT_046,8,3.35,0.32
Australia,New South Wales,Freemans Reach,Product_3,57.32,MAT_018,15,3.48,0.32
Australia,New South Wales,Freemans Reach,Product_3,57.32,MAT_025,2,3.31,0.32
Australia,New South Wales,Freemans Reach,Product_3,57.32,MAT_047,9,3.35,0.32
Australia,New South Wales,Freemans Reach,Product_3,57.32,MAT_029,13,3.39,0.32
Australia,New South Wales,Freemans Reach,Product_3,57.32,MAT_001,20,3.32,0.32
Australia,New South Wales,Freemans Reach,Product_3,57.32,MAT_049,8,3.33,0.32
Australia,New South Wales,Freemans Reach,Product_4,44.07,MAT_016,4,6.12,0.45
Australia,New South Wales,Freemans Reach,Product_4,44.07,MAT_012,20,5.97,0.45
Australia,New South Wales,Freemans Reach,Product_4,44.07,MAT_010,10,5.99,0.45
Australia,New South Wales,Freemans Reach,Product_4,44.07,MAT_024,1,5.91,0.45
Australia,New South Wales,Freemans Reach,Product_4,44.07,MAT_014,8,6.14,0.45
Australia,New South Wales,Freemans Reach,Product_5,29.87,MAT_045,4,2.09,0.14
Australia,New South Wales,Freemans Reach,Product_5,29.87,MAT_035,8,2.05,0.14
Australia,New South Wales,Freemans Reach,Product_5,29.87,MAT_025,11,2.11,0.14
Australia,New South Wales,Freemans Reach,Product_5,29.87,MAT_021,16,2.07,0.14
Australia,New South Wales,Freemans Reach,Product_5,29.87,MAT_024,10,2.14,0.14
Australia,New South Wales,Freemans Reach,Product_5,29.87,MAT_006,7,2.1,0.14
Australia,New South Wales,Freemans Reach,Product_5,29.87,MAT_008,19,2.05,0.14
Australia,New South Wales,Freemans Reach,Product_6,43.52,MAT_024,10,1.93,0.14
Australia,New South Wales,Freemans Reach,Product_6,43.52,MAT_029,18,1.86,0.14
Australia,New South Wales,Freemans Reach,Product_6,43.52,MAT_013,16,1.89,0.14
Australia,New South Wales,Freemans Reach,Product_6,43.52,MAT_020,14,1.94,0.14
Australia,New South Wales,Freemans Reach,Product_6,43.52,MAT_045,12,1.87,0.14
Australia,New South Wales,Freemans Reach,Product_6,43.52,MAT_041,2,1.84,0.14
Australia,New South Wales,Freemans Reach,Product_6,43.52,MAT_014,18,1.86,0.14
Australia,New South Wales,Freemans Reach,Product_6,43.52,MAT_042,14,1.9,0.14
Australia,New South Wales,Freemans Reach,Product_7,72.45,MAT_045,14,4.59,0.35
Australia,New South Wales,Freemans Reach,Product_7,72.45,MAT_039,2,4.77,0.35
Australia,New South Wales,Freemans Reach,Product_7,72.45,MAT_020,7,4.66,0.35
Australia,New South Wales,Freemans Reach,Product_7,72.45,MAT_017,7,4.58,0.35
Australia,New South Wales,Freemans Reach,Product_7,72.45,MAT_034,13,4.65,0.35
Australia,New South Wales,Freemans Reach,Product_8,59.13,MAT_035,16,4.77,0.41
Australia,New South Wales,Freemans Reach,Product_8,59.13,MAT_029,10,4.59,0.41
Australia,New South Wales,Freemans Reach,Product_8,59.13,MAT_011,3,4.72,0.41
Australia,New South Wales,Freemans Reach,Product_8,59.13,MAT_020,18,4.66,0.41
Australia,New South Wales,Freemans Reach,Product_8,59.13,MAT_037,12,4.66,0.41
Australia,New South Wales,Freemans Reach,Product_9,56.61,MAT_011,13,5.05,0.33
Australia,New South Wales,Freemans Reach,Product_9,56.61,MAT_025,8,4.97,0.33
Australia,New South Wales,Freemans Reach,Product_9,56.61,MAT_047,17,5.1,0.33
Australia,New South Wales,Freemans Reach,Product_9,56.61,MAT_021,3,4.92,0.33
Australia,New South Wales,Freemans Reach,Product_9,56.61,MAT_024,16,5.03,0.33
Australia,New South Wales,Freemans Reach,Product_9,56.61,MAT_044,3,5.07,0.33
Australia,New South Wales,Freemans Reach,Product_10,36.52,MAT_002,6,2.68,0.19
Australia,New South Wales,Freemans Reach,Product_10,36.52,MAT_047,11,2.78,0.19
Australia,New South Wales,Freemans Reach,Product_10,36.52,MAT_029,17,2.72,0.19
Australia,New South Wales,Freemans Reach,Product_10,36.52,MAT_022,5,2.67,0.19
Australia,New South Wales,Freemans Reach,Product_10,36.52,MAT_036,17,2.64,0.19
Australia,New South Wales,Freemans Reach,Product_10,36.52,MAT_030,8,2.68,0.19
Australia,New South Wales,Freemans Reach,Product_10,36.52,MAT_041,17,2.77,0.19
Australia,New South Wales,Freemans Reach,Product_10,36.52,MAT_008,3,2.78,0.19
Australia,New South Wales,Freemans Reach,Product_11,45.06,MAT_008,16,3.26,0.29
Australia,New South Wales,Freemans Reach,Product_11,45.06,MAT_047,16,3.28,0.29
Australia,New South Wales,Freemans Reach,Product_11,45.06,MAT_016,4,3.22,0.29
Australia,New South Wales,Freemans Reach,Product_11,45.06,MAT_005,15,3.3,0.29
Australia,New South Wales,Freemans Reach,Product_11,45.06,MAT_025,4,3.22,0.29
Australia,New South Wales,Freemans Reach,Product_12,27.44,MAT_040,11,1.78,0.11
Australia,New South Wales,Freemans Reach,Product_12,27.44,MAT_022,14,1.8,0.11
Australia,New South Wales,Freemans Reach,Product_12,27.44,MAT_047,7,1.86,0.11
Australia,New South Wales,Freemans Reach,Product_12,27.44,MAT_028,10,1.8,0.11
Australia,New South Wales,Freemans Reach,Product_12,27.44,MAT_034,6,1.85,0.11
Australia,New South Wales,Freemans Reach,Product_12,27.44,MAT_014,13,1.88,0.11
Australia,New South Wales,Freemans Reach,Product_13,85.69,MAT_025,13,7.52,0.55
Australia,New South Wales,Freemans Reach,Product_13,85.69,MAT_032,18,7.62,0.55
Australia,New South Wales,Freemans Reach,Product_13,85.69,MAT_036,11,7.41,0.55
Australia,New South Wales,Freemans Reach,Product_13,85.69,MAT_039,1,7.48,0.55
Australia,New South Wales,Freemans Reach,Product_13,85.69,MAT_022,11,7.66,0.55
Australia,New South Wales,Freemans Reach,Product_13,85.69,MAT_026,8,7.61,0.55
Australia,New South Wales,Freemans Reach,Product_13,85.69,MAT_027,1,7.61,0.55
Australia,New South Wales,Freemans Reach,Product_14,40.08,MAT_015,6,2.49,0.24
Australia,New South Wales,Freemans Reach,Product_14,40.08,MAT_034,4,2.53,0.24
Australia,New South Wales,Freemans Reach,Product_14,40.08,MAT_044,12,2.56,0.24
Australia,New South Wales,Freemans Reach,Product_14,40.08,MAT_029,7,2.53,0.24
Australia,New South Wales,Freemans Reach,Product_14,40.08,MAT_024,1,2.43,0.24
Australia,New South Wales,Freemans Reach,Product_14,40.08,MAT_030,11,2.51,0.24
Australia,New South Wales,Freemans Reach,Product_15,46.76,MAT_011,5,4.73,0.29
Australia,New South Wales,Freemans Reach,Product_15,46.76,MAT_015,4,4.76,0.29
Australia,New South Wales,Freemans Reach,Product_15,46.76,MAT_013,10,4.73,0.29
Australia,New South Wales,Freemans Reach,Product_15,46.76,MAT_032,6,4.81,0.29
Australia,New South Wales,Freemans Reach,Product_15,46.76,MAT_003,19,4.89,0.29
Australia,New South Wales,Freemans Reach,Product_15,46.76,MAT_009,7,4.91,0.29
Australia,New South Wales,Freemans Reach,Product_15,46.76,MAT_027,4,4.69,0.29
Australia,New South Wales,Freemans Reach,Product_15,46.76,MAT_002,12,4.71,0.29
Australia,New South Wales,Freemans Reach,Product_16,22.28,MAT_028,17,0.95,0.09
Australia,New South Wales,Freemans Reach,Product_16,22.28,MAT_039,16,0.94,0.09
Australia,New South Wales,Freemans Reach,Product_16,22.28,MAT_036,18,0.93,0.09
