Country,Region,City,Vehicle Plate
Australia,New South Wales,Freemans Reach,NEFR_1
Australia,New South Wales,Freemans Reach,NEFR_2
Australia,New South Wales,Freemans Reach,NEFR_3
Australia,New South Wales,Berowra,NEBE_1
Australia,New South Wales,Berowra,NEBE_2
Australia,New South Wales,Berowra,NEBE_3
Australia,New South Wales,Bangor,NEBA_1
Australia,New South Wales,Bangor,NEBA_2
Australia,New South Wales,Bangor,NEBA_3
Australia,New South Wales,Barnsley,NEBA_1
Australia,New South Wales,Barnsley,NEBA_2
Australia,New South Wales,Barnsley,NEBA_3
Australia,New South Wales,The Hill,NETH_1
Australia,New South Wales,The Hill,NETH_2
Australia,New South Wales,The Hill,NETH_3
Australia,New South Wales,Finley,NEFI_1
Australia,New South Wales,Finley,NEFI_2
Australia,New South Wales,Finley,NEFI_3
Australia,New South Wales,Sutton,NESU_1
Australia,New South Wales,Sutton,NESU_2
Australia,New South Wales,Sutton,NESU_3
Australia,New South Wales,Kensington,NEKE_1
Australia,New South Wales,Kensington,NEKE_2
Australia,New South Wales,Kensington,NEKE_3
Australia,New South Wales,Woodbine,NEWO_1
Australia,New South Wales,Woodbine,NEWO_2
Australia,New South Wales,Woodbine,NEWO_3
Australia,New South Wales,Swansea,NESW_1
Australia,New South Wales,Swansea,NESW_2
Australia,New South Wales,Swansea,NESW_3
Australia,Tasmania,Warrane,TAWA_1
Australia,Tasmania,Warrane,TAWA_2
Australia,Tasmania,Warrane,TAWA_3
Australia,Tasmania,Circular Head,TACI_1
Australia,Tasmania,Circular Head,TACI_2
Australia,Tasmania,Circular Head,TACI_3
Australia,Tasmania,New Norfolk,TANE_1
Australia,Tasmania,New Norfolk,TANE_2
Australia,Tasmania,New Norfolk,TANE_3
Australia,Tasmania,Ranelagh,TARA_1
Australia,Tasmania,Ranelagh,TARA_2
Australia,Tasmania,Ranelagh,TARA_3
Australia,Tasmania,Kingborough,TAKI_1
Australia,Tasmania,Kingborough,TAKI_2
Australia,Tasmania,Kingborough,TAKI_3
Australia,Tasmania,Bridport,TABR_1
Australia,Tasmania,Bridport,TABR_2
Australia,Tasmania,Bridport,TABR_3
Australia,Tasmania,Richmond,TARI_1
Australia,Tasmania,Richmond,TARI_2
Australia,Tasmania,Richmond,TARI_3
Australia,Tasmania,Lenah Valley,TALE_1
Australia,Tasmania,Lenah Valley,TALE_2
Australia,Tasmania,Lenah Valley,TALE_3
Australia,Tasmania,Lindisfarne,TALI_1
Australia,Tasmania,Lindisfarne,TALI_2
Australia,Tasmania,Lindisfarne,TALI_3
Australia,Tasmania,Chigwell,TACH_1
Australia,Tasmania,Chigwell,TACH_2
Australia,Tasmania,Chigwell,TACH_3
Australia,Australian Capital Territory,Reid,AURE_1
Australia,Australian Capital Territory,Reid,AURE_2
Australia,Australian Capital Territory,Reid,AURE_3
Australia,Australian Capital Territory,Pearce,AUPE_1
Australia,Australian Capital Territory,Pearce,AUPE_2
Australia,Australian Capital Territory,Pearce,AUPE_3
Australia,Australian Capital Territory,O'Connor,AUO'_1
Australia,Australian Capital Territory,O'Connor,AUO'_2
Australia,Australian Capital Territory,O'Connor,AUO'_3
Australia,Australian Capital Territory,Wright,AUWR_1
Australia,Australian Capital Territory,Wright,AUWR_2
Australia,Australian Capital Territory,Wright,AUWR_3
Australia,Australian Capital Territory,Fisher,AUFI_1
Australia,Australian Capital Territory,Fisher,AUFI_2
Australia,Australian Capital Territory,Fisher,AUFI_3
Australia,Australian Capital Territory,Red Hill,AURE_1
Australia,Australian Capital Territory,Red Hill,AURE_2
Australia,Australian Capital Territory,Red Hill,AURE_3
Australia,Australian Capital Territory,Monash,AUMO_1
Australia,Australian Capital Territory,Monash,AUMO_2
Australia,Australian Capital Territory,Monash,AUMO_3
Australia,Australian Capital Territory,Giralang,AUGI_1
Australia,Australian Capital Territory,Giralang,AUGI_2
Australia,Australian Capital Territory,Giralang,AUGI_3
Australia,Australian Capital Territory,Acton,AUAC_1
Australia,Australian Capital Territory,Acton,AUAC_2
Australia,Australian Capital Territory,Acton,AUAC_3
Australia,Australian Capital Territory,Bruce,AUBR_1
Australia,Australian Capital Territory,Bruce,AUBR_2
Australia,Australian Capital Territory,Bruce,AUBR_3
Australia,Western Australia,Waikiki,WEWA_1
Australia,Western Australia,Waikiki,WEWA_2
Australia,Western Australia,Waikiki,WEWA_3
Australia,Western Australia,Bullsbrook,WEBU_1
Australia,Western Australia,Bullsbrook,WEBU_2
Australia,Western Australia,Bullsbrook,WEBU_3
Australia,Western Australia,Mundijong,WEMU_1
Australia,Western Australia,Mundijong,WEMU_2
Australia,Western Australia,Mundijong,WEMU_3
Australia,Western Australia,Canning Vale,WECA_1
Australia,Western Australia,Canning Vale,WECA_2
Australia,Western Australia,Canning Vale,WECA_3
Australia,Western Australia,Subiaco,WESU_1
Australia,Western Australia,Subiaco,WESU_2
Australia,Western Australia,Subiaco,WESU_3
Australia,Western Australia,Busselton,WEBU_1
Australia,Western Australia,Busselton,WEBU_2
Australia,Western Australia,Busselton,WEBU_3
Australia,Western Australia,Willagee,WEWI_1
Australia,Western Australia,Willagee,WEWI_2
Australia,Western Australia,Willagee,WEWI_3
Australia,Western Australia,Nungarin,WENU_1
Australia,Western Australia,Nungarin,WENU_2
Australia,Western Australia,Nungarin,WENU_3
Australia,Western Australia,Cardup,WECA_1
Australia,Western Australia,Cardup,WECA_2
Australia,Western Australia,Cardup,WECA_3
Australia,Western Australia,Shark Bay,WESH_1
Australia,Western Australia,Shark Bay,WESH_2
Australia,Western Australia,Shark Bay,WESH_3
Australia,Northern Territory,Virginia,NOVI_1
Australia,Northern Territory,Virginia,NOVI_2
Australia,Northern Territory,Virginia,NOVI_3
Australia,Northern Territory,Alawa,NOAL_1
Australia,Northern Territory,Alawa,NOAL_2
Australia,Northern Territory,Alawa,NOAL_3
Australia,Northern Territory,Nhulunbuy,NONH_1
Australia,Northern Territory,Nhulunbuy,NONH_2
Australia,Northern Territory,Nhulunbuy,NONH_3
Australia,Northern Territory,Fannie Bay,NOFA_1
Australia,Northern Territory,Fannie Bay,NOFA_2
Australia,Northern Territory,Fannie Bay,NOFA_3
Australia,Northern Territory,Central Desert,NOCE_1
Australia,Northern Territory,Central Desert,NOCE_2
Australia,Northern Territory,Central Desert,NOCE_3
Australia,Northern Territory,Tiwi,NOTI_1
Australia,Northern Territory,Tiwi,NOTI_2
Australia,Northern Territory,Tiwi,NOTI_3
Australia,Northern Territory,Braitling,NOBR_1
Australia,Northern Territory,Braitling,NOBR_2
Australia,Northern Territory,Braitling,NOBR_3
Australia,Northern Territory,Driver,NODR_1
Australia,Northern Territory,Driver,NODR_2
Australia,Northern Territory,Driver,NODR_3
Australia,Northern Territory,Araluen,NOAR_1
Australia,Northern Territory,Araluen,NOAR_2
Australia,Northern Territory,Araluen,NOAR_3
Australia,Northern Territory,Ross,NORO_1
Australia,Northern Territory,Ross,NORO_2
Australia,Northern Territory,Ross,NORO_3
Belgium,Brussels-Capital Region,Brussels,BRBR_1
Belgium,Brussels-Capital Region,Brussels,BRBR_2
Belgium,Brussels-Capital Region,Brussels,BRBR_3
Belgium,Flanders,Peer,FLPE_1
Belgium,Flanders,Peer,FLPE_2
Belgium,Flanders,Peer,FLPE_3
Belgium,Flanders,Wellen,FLWE_1
Belgium,Flanders,Wellen,FLWE_2
Belgium,Flanders,Wellen,FLWE_3
Belgium,Flanders,Lille,FLLI_1
Belgium,Flanders,Lille,FLLI_2
Belgium,Flanders,Lille,FLLI_3
Belgium,Flanders,Arendonk,FLAR_1
Belgium,Flanders,Arendonk,FLAR_2
Belgium,Flanders,Arendonk,FLAR_3
Belgium,Flanders,Sint-Kruis,FLSI_1
Belgium,Flanders,Sint-Kruis,FLSI_2
Belgium,Flanders,Sint-Kruis,FLSI_3
Belgium,Flanders,Schilde,FLSC_1
Belgium,Flanders,Schilde,FLSC_2
Belgium,Flanders,Schilde,FLSC_3
Belgium,Flanders,Ostend,FLOS_1
Belgium,Flanders,Ostend,FLOS_2
Belgium,Flanders,Ostend,FLOS_3
Belgium,Flanders,Hove,FLHO_1
Belgium,Flanders,Hove,FLHO_2
Belgium,Flanders,Hove,FLHO_3
Belgium,Flanders,Alveringem,FLAL_1
Belgium,Flanders,Alveringem,FLAL_2
Belgium,Flanders,Alveringem,FLAL_3
Belgium,Flanders,Middelkerke,FLMI_1
Belgium,Flanders,Middelkerke,FLMI_2
Belgium,Flanders,Middelkerke,FLMI_3
Belgium,Wallonia,Bouillon,WABO_1
Belgium,Wallonia,Bouillon,WABO_2
Belgium,Wallonia,Bouillon,WABO_3
Belgium,Wallonia,Ans,WAAN_1
Belgium,Wallonia,Ans,WAAN_2
Belgium,Wallonia,Ans,WAAN_3
Belgium,Wallonia,Plombières,WAPL_1
Belgium,Wallonia,Plombières,WAPL_2
Belgium,Wallonia,Plombières,WAPL_3
Belgium,Wallonia,Ferrières,WAFE_1
Belgium,Wallonia,Ferrières,WAFE_2
Belgium,Wallonia,Ferrières,WAFE_3
